Date    New Leads     Pre-Quote Follow Up    Post-Quote Follow Up    Answered    Didn't Answer    Total Calls    Not Ready Yet    Requires Quoting    Quote Sent    Site Visit Booked    Passed Onto Jed    Verbal Confirmation    Rescheduled Site Visit    Lost - Price    Lost - Time Ralted    Abandoned - Not Responding    Abandoned - Headache    Disqualified - Out of Service Area    Disqualified - Price    Disqualified - Extent of Works    Disqualified - Wrong Contact/Number    Disqualified - Spam
Date    New Leads     Pre-Quote Follow Up    Post-Quote Follow Up    Answered    Didn't Answer    Total Calls    Not Ready Yet    Requires Quoting    Quote Sent    Site Visit Booked    Passed Onto Jed    Verbal Confirmation    Rescheduled Site Visit    Lost - Price    Lost - Time Ralted    Abandoned - Not Responding    Abandoned - Headache    Disqualified - Out of Service Area    Disqualified - Price    Disqualified - Extent of Works    Disqualified - Wrong Contact/Number    Disqualified - Spam
Monday, 5 January 2026    15    0    3    12    6    18    1    5    7    2    1    1    0    0    0    0    0    0    0    0    0    0
Tuesday, 6 January 2026    9    2    8    13    6    19    0    11    11    0    0    0    0    0    0    0    0    0    0    1    0    0
Wednesday, 7 January 2026    3    0    0    2    1    3    0    2    1    0    0    0    0    0    0    0    0    0    0    0    0    0
Thursday, 8 January 2026    7    2    17    15    11    26    1    9    9    2    0    0    0    0    0    0    0    0    0    1    0    1
Friday, 9 January 2026    5    0    0    1    2    3    0    1    0    0    1    0    0    0    0    0    0    0    0    0    0    1
Date    New Leads     Pre-Quote Follow Up    Post-Quote Follow Up    Answered    Didn't Answer    Total Calls    Not Ready Yet    Requires Quoting    Quote Sent    Site Visit Booked    Passed Onto Jed    Verbal Confirmation    Rescheduled Site Visit    Lost - Price    Lost - Time Ralted    Abandoned - Not Responding    Abandoned - Headache    Disqualified - Out of Service Area    Disqualified - Price    Disqualified - Extent of Works    Disqualified - Wrong Contact/Number    Disqualified - Spam
Monday, 12 January 2026    10    5    11    15    10    25    0    13    13    0    0    0    0    0    0    0    0    0    0    1    0    1
Tuesday, 13 January 2026    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Wednesday, 14 January 2026    3    0    1    3    1    4    0    3    4    0    0    0    0    0    0    0    0    0    0    0    0    0
Thursday, 15 January 2026    3    0    4    3    4    7    0    1    1    2    0    0    0    0    0    0    0    0    0    0    0    0
Friday, 16 January 2026    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Monday, 19 January 2026    11    4    1    9    6    15    2    7    7    0    0    0    0    0    0    0    0    0    0    1    0    0
